displayName,officialPosition,Total_Plays,Avg_POPS,Std_POPS
Dane Cruikshank,SS,4.0,0.33317294898947,0.06062477113459471
Daniel Ekuale,DT,22.0,0.32741023938697994,0.041629495199090774
Daniel Sorensen,FS,12.0,0.3303460435056857,0.041279107004980595
Daniel Wise,DE,2.0,0.34074875531672455,0.05358199483106962
Danielle Hunter,DE,106.0,0.3167577340730251,0.035159980271119884
Danny Johnson,CB,1.0,0.30286056342217266,
Danny Shelton,NT,19.0,0.30996769264787155,0.030979258073505798
Dante Fowler,OLB,53.0,0.32727778848128986,0.039900226423787294
Darius Hodge,DE,5.0,0.3247765816909106,0.04900570664502538
Darius Philon,DT,41.0,0.32088877602184873,0.03563756837243385
Darnay Holmes,CB,1.0,0.30286056342217266,
Darnell Savage,SS,1.0,0.40529029851963344,
Daron Payne,DT,134.0,0.32185578919585645,0.03652577620338487
Darrell Taylor,DE,75.0,0.31587117803247833,0.03500345915553438
Darryl Johnson,DE,2.0,0.3470796830448285,0.06253527868655812
Daryl Worley,CB,1.0,0.30286056342217266,
David Long,ILB,21.0,0.3395306668466716,0.03971722952768999
David Moa,DT,2.0,0.30286056342217266,0.0
David Onyemata,DT,11.0,0.32823132022075335,0.04352201667342325
Daviyon Nixon,DT,12.0,0.31470505680756095,0.027782714496558027
Davon Godchaux,NT,53.0,0.3295541952085018,0.043869930391456514
Davon Hamilton,DT,17.0,0.3104320884019698,0.02137363855008269
Dawuane Smoot,DE,90.0,0.32395208429300104,0.04230012308718961
Dayo Odeyingbo,DE,7.0,0.35653864861562595,0.05470493522460194
De'Vondre Campbell,ILB,17.0,0.3254500148113584,0.0453526101900192
DeAndre Houston-Carson,FS,4.0,0.3501099649950292,0.05525615220442963
DeForest Buckner,DT,116.0,0.3255568050001555,0.0429131612810199
DeMarcus Walker,DE,52.0,0.3265778014769158,0.041514693521265966
DeShawn Williams,DT,44.0,0.3142559749649464,0.03270264114598311
DeShon Elliott,FS,11.0,0.31601248882774846,0.02927142703164363
Dean Lowry,DE,87.0,0.3220276056102216,0.03630091465439048
Dean Marlowe,SS,4.0,0.34709467472327443,0.05108120668939732
Deatrich Wise,DE,70.0,0.3207076681454667,0.03723629608522407
Dee Ford,DE,51.0,0.3182426014483003,0.03380025046257088
Deion Jones,ILB,13.0,0.3163493909700567,0.0333905680863937
Del'Shawn Phillips,OLB,2.0,0.3412732713345784,0.05432377249720051
Demarcus Lawrence,DE,21.0,0.3097140400119493,0.021729862969637883
Demario Davis,ILB,40.0,0.32294974136894183,0.0364887788989386
Demetrius Flannigan-Fowles,MLB,3.0,0.30286056342217266,0.0
Demone Harris,DE,2.0,0.30286056342217266,0.0
Denico Autry,DE,117.0,0.32831290026869314,0.04102817501192073
Dennis Gardeck,OLB,23.0,0.32369323641957026,0.04301377697921078
Denzel Perryman,ILB,2.0,0.333433978808095,0.043237338686837594
Deommodore Lenoir,CB,1.0,0.30286056342217266,
Derek Barnett,DE,94.0,0.3241427555176618,0.04158738907557769
Derrek Tuszka,OLB,15.0,0.3028605634221727,5.745950043620392e-17
Derrick Barnes,ILB,2.0,0.34535176436561243,0.060091632655732946
Derrick Brown,DT,85.0,0.3315144635542945,0.04221022646442874
Derrick Nnadi,DT,37.0,0.31146445033572734,0.029595414740578887
Derwin James,FS,4.0,0.30286056342217266,0.0
Desmond King,CB,3.0,0.30286056342217266,0.0
Devin Bush,ILB,8.0,0.34846210285427637,0.050004794162380226
Devin McCourty,FS,2.0,0.30286056342217266,0.0
Devin White,ILB,47.0,0.34924048895444,0.05649874709740901
Devon Kennard,OLB,29.0,0.3072989663619209,0.016597480826106934
Dexter Lawrence,DE,88.0,0.3313271731742056,0.043004294299670454
Donovan Wilson,SS,2.0,0.30286056342217266,0.0
Dont'a Hightower,OLB,35.0,0.3234840906343759,0.03590960327920856
Dontae Johnson,CB,1.0,0.30286056342217266,
Donte Deayon,CB,1.0,0.30286056342217266,
Dorance Armstrong,DE,37.0,0.331451172087324,0.04007423704355322
Dre'Mont Jones,DE,121.0,0.3266787293981641,0.04234005681002452
Drue Tranquill,ILB,7.0,0.37062061045310457,0.035011607188614825
Duke Riley,ILB,9.0,0.3570549212374161,0.05961811708687758
Duron Harmon,SS,4.0,0.32169160462149893,0.0376620823986526
E.J. Speed,OLB,2.0,0.34516181485798303,0.059823003485877345
Ed Oliver,DT,75.0,0.33033035150439843,0.04618864769494304
Eddie Goldman,NT,33.0,0.31817502329128017,0.03335745107448276
Efe Obada,DE,25.0,0.33472986180763165,0.053317170952856846
Elandon Roberts,ILB,15.0,0.33174438536694856,0.04254594067572987
Eli Ankou,DT,6.0,0.30286056342217266,0.0
Eli Apple,CB,1.0,0.30286056342217266,
Elijah Molden,CB,11.0,0.31858444346065595,0.03506230310879206
Emmanuel Moseley,CB,1.0,0.30286056342217266,
Emmanuel Ogbah,DE,141.0,0.3202680645565259,0.039718365888242804
Eric Banks,DT,9.0,0.30286056342217266,0.0
Eric Kendricks,ILB,24.0,0.3500337208261178,0.04124592701766567
Eric Rowe,SS,5.0,0.30286056342217266,0.0
Eric Wilson,OLB,5.0,0.36694103752658386,0.035927010263808325
Erik Harris,FS,1.0,0.39338454075995666,
Ernest Jones,ILB,4.0,0.3250656317393224,0.044410136634299435
Everson Griffen,DE,108.0,0.3217764415764456,0.038440506902437103
Fletcher Cox,DT,101.0,0.32419625728624485,0.03795894714663843
Folorunso Fatukasi,DT,58.0,0.3276258028849282,0.039920190707634806
Foyesade Oluokun,ILB,15.0,0.3166977328467332,0.036849576693114956
Frank Clark,DE,54.0,0.3174602258713847,0.03391154074019087
Frankie Luvu,OLB,18.0,0.33130520406046726,0.04202945189694847
Fred Warner,MLB,10.0,0.3103841394350978,0.02379163635025171
Genard Avery,OLB,17.0,0.31269733400718974,0.027820062820191387
George Odum,FS,1.0,0.38851401306460637,
Gerald McCoy,DT,2.0,0.30286056342217266,0.0
Germaine Pratt,OLB,4.0,0.31559568477860345,0.025470242712861607
Grady Jarrett,DT,90.0,0.32426930171876445,0.03767655259245835
Grant Delpit,SS,2.0,0.3483141806874033,0.06428112199540496
Grant Stuard,ILB,1.0,0.4197184590096658,
Greg Gaines,NT,69.0,0.31993839171621125,0.037116816779366506
Gregory Rousseau,DE,47.0,0.32405058087374067,0.04534091522820514
Grover Stewart,DT,57.0,0.31253103392216547,0.02623577093841646
Haason Reddick,OLB,106.0,0.3185499270694825,0.035510948553605676
Harold Landry,OLB,121.0,0.3209644581231664,0.04059086568834655
Harrison Phillips,DT,25.0,0.3173803671033431,0.030351689998734395
Harrison Smith,SS,9.0,0.3123816815481586,0.02856335437795765
Hassan Ridgeway,DT,42.0,0.31051105671597024,0.023894094168611515
Henry Anderson,DE,4.0,0.30286056342217266,0.0
Henry Mondeaux,DE,21.0,0.33715310248025265,0.047776174473812404
Ifeadi Odenigbo,DE,4.0,0.3258124225783727,0.04590371831240006
Ifeatu Melifonwu,CB,1.0,0.30286056342217266,
Isaac Rochell,DE,7.0,0.30286056342217266,0.0
Isaac Yiadom,CB,1.0,0.30286056342217266,
Isaiah Buggs,DE,30.0,0.32227883643813304,0.037742736419144156
Isaiah Oliver,CB,8.0,0.30286056342217266,0.0
Isaiah Simmons,ILB,22.0,0.30638955219515335,0.016552424557028447
Isaiahh Loudermilk,DE,25.0,0.30880678173279513,0.02068515987700899
J.C. Jackson,CB,1.0,0.30286056342217266,
J.J. Watt,DE,116.0,0.33237680099043915,0.04138075998285304
Ja'Whaun Bentley,ILB,14.0,0.3319231321059277,0.04076249840436505
Jabaal Sheard,DE,5.0,0.30286056342217266,0.0
Jabari Zuniga,DE,6.0,0.30286056342217266,0.0
Jabrill Peppers,SS,8.0,0.3141733352111189,0.03199735058391897
Jace Whittaker,CB,3.0,0.30286056342217266,0.0
Jack Heflin,DT,2.0,0.30286056342217266,0.0
Jacob Martin,DE,61.0,0.3125081888671792,0.028433912473293983
Jacob Tuioti-Mariner,OLB,17.0,0.3076346694897401,0.019684143584482634
Jadeveon Clowney,DE,94.0,0.31955315307753956,0.034338798457906224
Jaelan Phillips,OLB,115.0,0.3200002218733669,0.036325964330363995
Jaleel Johnson,DT,17.0,0.31753118921437534,0.03381455985226874
Jalen Mills,CB,1.0,0.30286056342217266,
Jalen Ramsey,CB,6.0,0.3184406647726318,0.03816329844947202
Jalen Reeves-Maybin,OLB,5.0,0.31481177732286014,0.02672372669557771
Jalen Thompson,FS,2.0,0.34699996322629145,0.062422537837993175
Jalyn Holmes,DE,2.0,0.30286056342217266,0.0
Jamal Adams,SS,15.0,0.3275557652138277,0.043305918036917794
Jamel Dean,CB,1.0,0.30286056342217266,
James Lynch,NT,10.0,0.30992363438080883,0.022335391504679024
James Smith-Williams,DE,45.0,0.31054424468442227,0.02535504378138933
James Vaughters,OLB,4.0,0.30286056342217266,0.0
Jamie Collins,OLB,4.0,0.3392774366922688,0.04205743575683434
Jamien Sherwood,ILB,2.0,0.30286056342217266,0.0
Jamin Davis,MLB,13.0,0.3155366497567626,0.031030604287771765
Jamir Jones,OLB,33.0,0.3303497669381491,0.04598589962347893
Janoris Jenkins,CB,1.0,0.3990253505965146,
Jaquiski Tartt,SS,1.0,0.30286056342217266,
Jarrad Davis,MLB,1.0,0.4319260520051331,
Jarran Reed,DT,79.0,0.3206215488199361,0.03386352301702703
Jarrod Wilson,SS,1.0,0.41986294823593506,
Jashon Cornell,DE,3.0,0.3271801247288118,0.04212271580088525
Jason McCourty,FS,4.0,0.3212135974599147,0.03670606807548407
Jason Pierre-Paul,DE,112.0,0.31239049813346015,0.029982123219056335
Javelin Guidry,CB,4.0,0.30286056342217266,0.0
Javon Hargrave,DT,96.0,0.3341066096680448,0.04010024938405597
Javon Kinlaw,DT,32.0,0.31807277389020305,0.03670435289967514
Jay Tufele,DT,1.0,0.30286056342217266,
Jaycee Horn,CB,1.0,0.30286056342217266,
Jaylinn Hawkins,FS,1.0,0.3931464783947014,
Jaylon Ferguson,OLB,4.0,0.3258055483353309,0.045889969826316455
Jaylon Smith,MLB,3.0,0.30286056342217266,0.0
Jayon Brown,ILB,6.0,0.3146499521161688,0.028877986679627675
Jayron Kearse,FS,10.0,0.34353688749332634,0.04317471478504836
Jeffery Simmons,DT,138.0,0.327110498645068,0.0410903003802885
Jeremiah Attaochu,OLB,32.0,0.3234662074376763,0.04038996709783711
Jeremiah Owusu-Koramoah,OLB,10.0,0.325906276365065,0.03764786700347234
Jeremy Chinn,FS,16.0,0.3283457785646405,0.039912992599366905
Jermaine Carter,MLB,13.0,0.3481554930094797,0.03943324477843687
Jerome Baker,ILB,25.0,0.324722969007626,0.05342473542826756
Jerry Hughes,DE,70.0,0.32557051653657954,0.04023542845732313
Jerry Tillery,DT,103.0,0.3153770574827323,0.034129713124342057
Jessie Bates,FS,6.0,0.3317598438391838,0.04513503360356161
Jevon Holland,FS,6.0,0.3406097755792859,0.05852614306846487
Jihad Ward,OLB,59.0,0.32173866204576895,0.04005811199046603
Jimmie Ward,FS,5.0,0.30286056342217266,0.0
Jimmy Smith,CB,1.0,0.30286056342217266,
Joe Bachie,OLB,1.0,0.30286056342217266,
Joe Gaziano,DE,13.0,0.3107426295264588,0.028419193495600403
Joe Jackson,DE,18.0,0.3075834568860026,0.020037539970574416
Joe Schobert,ILB,14.0,0.3028605634221727,5.760664408413727e-17
Joe Tryon,OLB,68.0,0.31036750067560853,0.02499688274989853
Joe Walker,ILB,2.0,0.33473652371210105,0.04507941535568291
Joey Bosa,OLB,100.0,0.3243497244695713,0.0413423599020661
John Franklin-Myers,DE,94.0,0.3150593275417783,0.03277449603452068
John Jenkins,NT,24.0,0.32246376384000275,0.04180384362294583
John Penisini,NT,11.0,0.3200314265156395,0.03837664680439426
John Simon,DE,8.0,0.30286056342217266,0.0
Johnathan Abram,SS,5.0,0.33631009487484426,0.0463476993466119
Johnathan Hankins,NT,64.0,0.30387152289210617,0.008087675759468359
Jon Bostic,OLB,4.0,0.3410526015146365,0.04411379095090855
Jonah Williams,DE,34.0,0.31934106920005456,0.03711566816007606
Jonathan Allen,DT,121.0,0.3338686906476222,0.0415119408950749
Jonathan Bullard,DE,20.0,0.3062174702338447,0.015012543650061416
Jonathan Garvin,OLB,55.0,0.3078029715507077,0.020837435758102076
Jonathan Greenard,DE,35.0,0.3144171561457843,0.028940000259786977
Jonathan Jones,CB,2.0,0.30286056342217266,0.0
Jonathan Ledbetter,DE,2.0,0.30286056342217266,0.0
Jonathon Cooper,OLB,51.0,0.317349715429372,0.04071035593305212
Jordan Elliott,DT,32.0,0.3107646148494726,0.02576649800594625
Jordan Evans,OLB,3.0,0.32731426811403735,0.04235505895959513
Jordan Fuller,SS,2.0,0.30286056342217266,0.0
Jordan Hicks,ILB,24.0,0.3459406039223752,0.04151153143847861
Jordan Jenkins,DE,42.0,0.3298513764330401,0.04216091590658146
Jordan Phillips,DE,20.0,0.3074630576828702,0.02058298006594462
Jordan Poyer,SS,4.0,0.32756608624849604,0.04941104565264676
Jordan Whitehead,SS,8.0,0.30286056342217266,0.0
Jordan Willis,DE,5.0,0.356793267154015,0.049765386985772826
Jordyn Brooks,OLB,15.0,0.3425918242467271,0.05162022826997251
Joseph Jones,ILB,15.0,0.3028605634221727,5.745950043620392e-17
Josey Jewell,ILB,2.0,0.30286056342217266,0.0
Josh Allen,OLB,84.0,0.3174552904507819,0.03215968566497655
Josh Bynes,ILB,5.0,0.3196921653394974,0.03763660605735383
Josh Mauro,DE,7.0,0.30286056342217266,0.0
Josh Sweat,DE,98.0,0.3120693989863818,0.026734606251600124
Josh Tupou,NT,55.0,0.31237703078544865,0.031280927384164096
Josh Uche,OLB,66.0,0.3233080317292964,0.042447836037424864
Joshua Kaindoh,DE,7.0,0.3141265364025842,0.0298069627833422
Josiah Bronson,DT,2.0,0.30286056342217266,0.0
Jourdan Lewis,CB,2.0,0.30286056342217266,0.0
Juan Thornhill,FS,2.0,0.34448391093602926,0.05886430256546441
Julian Love,SS,2.0,0.30286056342217266,0.0
Julian Okwara,OLB,43.0,0.32349326977231563,0.03943749688684476
Julian Stanford,OLB,2.0,0.30286056342217266,0.0
Justin Ellis,DT,38.0,0.3091426665655099,0.02275300913098515
Justin Hamilton,DT,18.0,0.33133795037026653,0.041732311954249354
Justin Hollins,OLB,45.0,0.3146227593852836,0.03241798244897563
Justin Houston,OLB,93.0,0.3174105555543176,0.03541432415608299
Justin Jones,DT,17.0,0.3297309699996197,0.04307694369561517
Justin Lawler,OLB,3.0,0.30286056342217266,0.0
Justin Madubuike,DT,53.0,0.31217509558253653,0.02979617893696904
Justin Simmons,FS,2.0,0.3501888168425149,0.06693225787047884
Justin Strnad,ILB,12.0,0.3370532036386047,0.042410846075714874
Justin Zimmer,DT,57.0,0.3208855899753088,0.035725007556697386
Juston Burris,SS,3.0,0.30286056342217266,0.0
K'Lavon Chaisson,OLB,32.0,0.31062344028210687,0.030892425124299294
K'Waun Williams,CB,5.0,0.30286056342217266,0.0
K.J. Britt,ILB,1.0,0.40536905179405647,
Kaden Elliss,OLB,16.0,0.33125410547453443,0.046907186963275165
Kamren Curl,FS,3.0,0.33045049829362527,0.04778716897487223
Kamu Grugier-Hill,ILB,4.0,0.30286056342217266,0.0
Kareem Jackson,SS,2.0,0.30286056342217266,0.0
Karl Joseph,SS,1.0,0.30286056342217266,
Keanu Neal,MLB,7.0,0.30286056342217266,0.0
Kemoko Turay,DE,38.0,0.3246888820479125,0.049234692191243296
Kendal Vickers,DT,8.0,0.3126502780799907,0.027689494481697857
Kendall Fuller,CB,3.0,0.30286056342217266,0.0
Kenneth Murray,ILB,3.0,0.35984264737885013,0.050306591658723976
Kenny Clark,NT,151.0,0.32580446389651146,0.037244408706783735
Kenny Moore,CB,12.0,0.30933795174649675,0.02243833135616539
Kenny Willekes,DE,10.0,0.3199923566877698,0.03616416248461118
Kenny Young,ILB,23.0,0.33766194913084274,0.04561327247049312
Kentavius Street,DE,36.0,0.31777871775440614,0.03593368798003034
Kerry Hyder,DE,113.0,0.31980981608523734,0.03595129531571184
Kevin Byard,FS,3.0,0.3310955321734435,0.04890440042732069
Kevin Givens,DT,21.0,0.3358694169636537,0.043836214589600436
Kevin King,CB,1.0,0.40220093323021183,
Kevin Minter,ILB,7.0,0.3131236267371259,0.027153513221076498
Kevin Strong,DE,8.0,0.30286056342217266,0.0
Khaleke Hudson,MLB,1.0,0.38581587960263025,
Khalen Saunders,DT,25.0,0.3119905777064545,0.025301977506780617
Khalid Kareem,DE,5.0,0.3233466903935759,0.04580837250374956
Khalil Davis,DT,2.0,0.30286056342217266,0.0
Khalil Mack,OLB,83.0,0.3236693956318137,0.04285125008114212
Khari Willis,SS,6.0,0.315002808414127,0.029742304562152523
Khyiris Tonga,NT,14.0,0.30918787433064726,0.02367462959910925
Kingsley Keke,DE,82.0,0.314783914788206,0.031197076757072173
Kristian Welch,MLB,1.0,0.30286056342217266,
Krys Barnes,ILB,3.0,0.3268705584895655,0.04158653134620253
Kwity Paye,DE,57.0,0.3207027825351329,0.04596585834850871
Kwon Alexander,OLB,12.0,0.31637932673333913,0.03191157320519144
Kyle Dugger,FS,5.0,0.30286056342217266,0.0
Kyle Van Noy,OLB,38.0,0.31595635642040065,0.03091023393455114
Kyler Fackrell,OLB,46.0,0.32940018992393005,0.044016035548526254
Kylie Fitts,OLB,10.0,0.32018401022008436,0.036589774536907295
Kyzir White,ILB,9.0,0.3111728508402195,0.02493686225414058
L'Jarius Sneed,CB,11.0,0.3028605634221727,5.822058658345462e-17
L.J. Collier,DE,7.0,0.34190348527449876,0.050750283687878636
Ladarius Hamilton,OLB,11.0,0.3131573961015436,0.03415073052654322
Landon Collins,SS,5.0,0.335736983054398,0.04513394303120057
Larrell Murchison,DT,34.0,0.31394379023728225,0.03192654067545123
Larry Ogunjobi,DT,130.0,0.3155746990237083,0.03170622235442543
Lavonte David,ILB,27.0,0.3254753101013707,0.03910885302273504
Lawrence Guy,DT,30.0,0.31521113567289544,0.03297849043725295
